no,tcode,fred_raw,description,group
1,5,RPI,RealPersonalIncome,1
2,5,W875RX1,Realpersonalincomeextransferreceipts,1
3,5,DPCERA3M086SBEA,Realpersonalconsumptionexpenditures,4
4,5,CMRMTSPLx,RealManu. andTradeIndustriesSales,4
5,5,RETAILx,RetailandFoodServicesSales,4
6,5,INDPRO,IPIndex,1
7,5,IPFPNSS,IP:FinalProductsandNonindustrialSupplies,1
8,5,IPFINAL,IP:FinalProducts(MarketGroup),1
9,5,IPCONGD,IP:ConsumerGoods,1
10,5,IPDCONGD,IP:DurableConsumerGoods,1
11,5,IPNCONGD,IP:NondurableConsumerGoods,1
12,5,IPBUSEQ,IP:BusinessEquipment,1
13,5,IPMAT,IP:Materials,1
14,5,IPDMAT,IP:DurableMaterials,1
15,5,IPNMAT,IP:NondurableMaterials,1
16,5,IPMANSICS,IP:Manufacturing(SIC),1
17,5,IPFUELS,IP:Fuels,1
18,2,CUMFNS,CapacityUtilization: Manufacturing,1
19,2,HWI,Help-WantedIndexforUnitedStates,2
20,2,HWIURATIO,RatioofHelpWanted/No. Unemployed,2
21,5,CLF16OV,CivilianLaborForce,2
22,5,CE16OV,CivilianEmployment,2
23,2,UNRATE,CivilianUnemploymentRate,2
24,2,UEMPMEAN,AverageDurationofUnemployment(Weeks),2
25,5,UEMPLT5,CiviliansUnemployed-LessThan5Weeks,2
26,5,UEMP5TO14,CiviliansUnemployedfor5-14Weeks,2
27,5,UEMP15OV,CiviliansUnemployed-15Weeks&Over,2
28,5,UEMP15T26,CiviliansUnemployedfor15-26Weeks,2
29,5,UEMP27OV,CiviliansUnemployedfor27WeeksandOver,2
30,5,CLAIMSx,InitialClaims,2
31,5,PAYEMS,AllEmployees: Totalnonfarm,2
32,5,USGOOD,AllEmployees: Goods-ProducingIndustries,2
33,5,CES1021000001,AllEmployees: MiningandLogging: Mining,2
34,5,USCONS,AllEmployees: Construction,2
35,5,MANEMP,AllEmployees: Manufacturing,2
36,5,DMANEMP,AllEmployees: Durablegoods,2
37,5,NDMANEMP,AllEmployees: Nondurablegoods,2
38,5,SRVPRD,AllEmployees: Service-ProvidingIndustries,2
39,5,USTPU,"AllEmployees: Trade,Transportation&Utilities",2
40,5,USWTRADE,AllEmployees: WholesaleTrade,2
41,5,USTRADE,AllEmployees: RetailTrade,2
42,5,USFIRE,AllEmployees: FinancialActivities,2
43,5,USGOVT,AllEmployees: Government,2
44,1,CES0600000007,AvgWeeklyHours: Goods-Producing,2
45,2,AWOTMAN,AvgWeeklyOvertimeHours: Manufacturing,2
46,1,AWHMAN,AvgWeeklyHours: Manufacturing,2
47,4,HOUST,HousingStarts: TotalNewPrivatelyOwned,3
48,4,HOUSTNE,"HousingStarts,Northeast",3
49,4,HOUSTMW,"HousingStarts,Midwest",3
50,4,HOUSTS,"HousingStarts,South",3
51,4,HOUSTW,"HousingStarts,West",3
52,4,PERMIT,NewPrivateHousingPermits(SAAR),3
53,4,PERMITNE,"NewPrivateHousingPermits,Northeast(SAAR)",3
54,4,PERMITMW,"NewPrivateHousingPermits,Midwest(SAAR)",3
55,4,PERMITS,"NewPrivateHousingPermits,South(SAAR)",3
56,4,PERMITW,"NewPrivateHousingPermits,West(SAAR)",3
57,5,ACOGNO,NewOrdersforConsumerGoods,4
58,5,AMDMNOx,NewOrdersforDurableGoods,4
59,5,ANDENOx,NewOrdersforNondefenseCapitalGoods,4
60,5,AMDMUOx,UnfilledOrdersforDurableGoods,4
61,5,BUSINVx,TotalBusinessInventories,4
62,2,ISRATIOx,TotalBusiness: InventoriestoSalesRatio,4
63,6,M1SL,M1MoneyStock,5
64,6,M2SL,M2MoneyStock,5
65,5,M2REAL,RealM2MoneyStock,5
66,6,TOTRESNS,TotalReservesofDepositoryInstitutions,5
67,7,NONBORRES,ReservesOfDepositoryInstitutions,5
68,6,BUSLOANS,CommercialandIndustrialLoans,5
69,6,REALLN,RealEstateLoansatAllCommercialBanks,5
70,6,NONREVSL,TotalNonrevolvingCredit,5
71,2,CONSPI,NonrevolvingconsumercredittoPersonalIncome,5
72,5,S&P500,S&P500CommonStockPriceIndex: Composite,8
73,5,S&P:indust,S&P500CommonStockPriceIndex: Industrials,8
74,2,S&Pdivyield,S&P500CompositeCommonStock: DividendYield,8
75,5,S&PPEratio,S&P500CompositeCommonStock: Price-EarningsRatio,8
76,2,FEDFUNDS,EffectiveFederalFundsRate,6
77,2,CP3Mx,3-MonthAAFinancialCommercialPaperRate,6
78,2,TB3MS,3-MonthTreasuryBill:,6
79,2,TB6MS,6-MonthTreasuryBill:,6
80,2,GS1,1-YearTreasuryRate,6
81,2,GS5,5-YearTreasuryRate,6
82,2,GS10,10-YearTreasuryRate,6
83,2,AAA,Moody’sSeasonedAaaCorporateBondYield,6
84,2,BAA,Moody’sSeasonedBaaCorporateBondYield,6
85,1,COMPAPFFx,3-MonthCommercialPaperMinusFEDFUNDS,6
86,1,TB3SMFFM,3-MonthTreasuryCMinusFEDFUNDS,6
87,1,TB6SMFFM,6-MonthTreasuryCMinusFEDFUNDS,6
88,1,T1YFFM,1-YearTreasuryCMinusFEDFUNDS,6
89,1,T5YFFM,5-YearTreasuryCMinusFEDFUNDS,6
90,1,T10YFFM,10-YearTreasuryCMinusFEDFUNDS,6
91,1,AAAFFM,Moody’sAaaCorporateBondMinusFEDFUNDS,6
92,1,BAAFFM,Moody’sBaaCorporateBondMinusFEDFUNDS,6
